# Format:          CSEMData_1.0
# Description:     Data file generated at 08-May-2020 09:58:03
Source Type:         HED
Source Location (m):         2
#          X            Y            Z      Azimuth          Dip
        0.00         0.00       950.00        90.00         0.00 
        0.00         0.00       950.00         0.00         0.00 
Receiver Location (m):     101
#          X            Y            Z
        0.00     -2000.00      1000.00
        0.00     -1900.00      1000.00
        0.00     -1800.00      1000.00
        0.00     -1700.00      1000.00
        0.00     -1600.00      1000.00
        0.00     -1500.00      1000.00
        0.00     -1400.00      1000.00
        0.00     -1300.00      1000.00
        0.00     -1200.00      1000.00
        0.00     -1100.00      1000.00
        0.00     -1000.00      1000.00
        0.00      -900.00      1000.00
        0.00      -800.00      1000.00
        0.00      -700.00      1000.00
        0.00      -600.00      1000.00
        0.00      -500.00      1000.00
        0.00      -400.00      1000.00
        0.00      -300.00      1000.00
        0.00      -200.00      1000.00
        0.00      -100.00      1000.00
        0.00         0.00      1000.00
        0.00       100.00      1000.00
        0.00       200.00      1000.00
        0.00       300.00      1000.00
        0.00       400.00      1000.00
        0.00       500.00      1000.00
        0.00       600.00      1000.00
        0.00       700.00      1000.00
        0.00       800.00      1000.00
        0.00       900.00      1000.00
        0.00      1000.00      1000.00
        0.00      1100.00      1000.00
        0.00      1200.00      1000.00
        0.00      1300.00      1000.00
        0.00      1400.00      1000.00
        0.00      1500.00      1000.00
        0.00      1600.00      1000.00
        0.00      1700.00      1000.00
        0.00      1800.00      1000.00
        0.00      1900.00      1000.00
        0.00      2000.00      1000.00
        0.00      2100.00      1000.00
        0.00      2200.00      1000.00
        0.00      2300.00      1000.00
        0.00      2400.00      1000.00
        0.00      2500.00      1000.00
        0.00      2600.00      1000.00
        0.00      2700.00      1000.00
        0.00      2800.00      1000.00
        0.00      2900.00      1000.00
        0.00      3000.00      1000.00
        0.00      3100.00      1000.00
        0.00      3200.00      1000.00
        0.00      3300.00      1000.00
        0.00      3400.00      1000.00
        0.00      3500.00      1000.00
        0.00      3600.00      1000.00
        0.00      3700.00      1000.00
        0.00      3800.00      1000.00
        0.00      3900.00      1000.00
        0.00      4000.00      1000.00
        0.00      4100.00      1000.00
        0.00      4200.00      1000.00
        0.00      4300.00      1000.00
        0.00      4400.00      1000.00
        0.00      4500.00      1000.00
        0.00      4600.00      1000.00
        0.00      4700.00      1000.00
        0.00      4800.00      1000.00
        0.00      4900.00      1000.00
        0.00      5000.00      1000.00
        0.00      5100.00      1000.00
        0.00      5200.00      1000.00
        0.00      5300.00      1000.00
        0.00      5400.00      1000.00
        0.00      5500.00      1000.00
        0.00      5600.00      1000.00
        0.00      5700.00      1000.00
        0.00      5800.00      1000.00
        0.00      5900.00      1000.00
        0.00      6000.00      1000.00
        0.00      6100.00      1000.00
        0.00      6200.00      1000.00
        0.00      6300.00      1000.00
        0.00      6400.00      1000.00
        0.00      6500.00      1000.00
        0.00      6600.00      1000.00
        0.00      6700.00      1000.00
        0.00      6800.00      1000.00
        0.00      6900.00      1000.00
        0.00      7000.00      1000.00
        0.00      7100.00      1000.00
        0.00      7200.00      1000.00
        0.00      7300.00      1000.00
        0.00      7400.00      1000.00
        0.00      7500.00      1000.00
        0.00      7600.00      1000.00
        0.00      7700.00      1000.00
        0.00      7800.00      1000.00
        0.00      7900.00      1000.00
        0.00      8000.00      1000.00
Frequencies (Hz):       1
    2.50000e-01
DataType:     6
Ex
Ey
Ez
Bx
By
Bz
Data Block:    1212
# FreqNo.  TxNo.   RxNo.   DTypeNo.  RealValue       ImagValue       Error
     1        1       1        1    1.000000e+00    1.000000e+00    2.000000e-02
     1        1       1        2    1.000000e+00    1.000000e+00    2.000000e-02
     1        1       1        3    1.000000e+00    1.000000e+00    2.000000e-02
     1        1       1        4    1.000000e+00    1.000000e+00    2.000000e-02
     1        1       1        5    1.000000e+00    1.000000e+00    2.000000e-02
     1        1       1        6    1.000000e+00    1.000000e+00    2.000000e-02
     1        1       2        1    1.000000e+00    1.000000e+00    2.000000e-02
     1        1       2        2    1.000000e+00    1.000000e+00    2.000000e-02
     1        1       2        3    1.000000e+00    1.000000e+00    2.000000e-02
     1        1       2        4    1.000000e+00    1.000000e+00    2.000000e-02
     1        1       2        5    1.000000e+00    1.000000e+00    2.000000e-02
     1        1       2        6    1.000000e+00    1.000000e+00    2.000000e-02
     1        1       3        1    1.000000e+00    1.000000e+00    2.000000e-02
     1        1       3        2    1.000000e+00    1.000000e+00    2.000000e-02
     1        1       3        3    1.000000e+00    1.000000e+00    2.000000e-02
     1        1       3        4    1.000000e+00    1.000000e+00    2.000000e-02
     1        1       3        5    1.000000e+00    1.000000e+00    2.000000e-02
     1        1       3        6    1.000000e+00    1.000000e+00    2.000000e-02
     1        1       4        1    1.000000e+00    1.000000e+00    2.000000e-02
     1        1       4        2    1.000000e+00    1.000000e+00    2.000000e-02
     1        1       4        3    1.000000e+00    1.000000e+00    2.000000e-02
     1        1       4        4    1.000000e+00    1.000000e+00    2.000000e-02
     1        1       4        5    1.000000e+00    1.000000e+00    2.000000e-02
     1        1       4        6    1.000000e+00    1.000000e+00    2.000000e-02
     1        1       5        1    1.000000e+00    1.000000e+00    2.000000e-02
     1        1       5        2    1.000000e+00    1.000000e+00    2.000000e-02
     1        1       5        3    1.000000e+00    1.000000e+00    2.000000e-02
     1        1       5        4    1.000000e+00    1.000000e+00    2.000000e-02
     1        1       5        5    1.000000e+00    1.000000e+00    2.000000e-02
     1        1       5        6    1.000000e+00    1.000000e+00    2.000000e-02
     1        1       6        1    1.000000e+00    1.000000e+00    2.000000e-02
     1        1       6        2    1.000000e+00    1.000000e+00    2.000000e-02
     1        1       6        3    1.000000e+00    1.000000e+00    2.000000e-02
     1        1       6        4    1.000000e+00    1.000000e+00    2.000000e-02
     1        1       6        5    1.000000e+00    1.000000e+00    2.000000e-02
     1        1       6        6    1.000000e+00    1.000000e+00    2.000000e-02
     1        1       7        1    1.000000e+00    1.000000e+00    2.000000e-02
     1        1       7        2    1.000000e+00    1.000000e+00    2.000000e-02
     1        1       7        3    1.000000e+00    1.000000e+00    2.000000e-02
